Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:48:40
============================================================
Порт  9845: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9844: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9843: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9842: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9841: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9840: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9839: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
Порт  9838: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9837: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9836: CLOSED     | Сервис: Unknown         | Время: 1.504 сек
Порт  9835: CLOSED     | Сервис: Unknown         | Время: 1.504 сек
Порт  9834: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9833: CLOSED     | Сервис: Unknown         | Время: 1.506 сек
Порт  9832: CLOSED     | Сервис: Unknown         | Время: 1.506 сек
Порт  9831: CLOSED     | Сервис: Unknown         | Время: 1.507 сек
Порт  9830: CLOSED     | Сервис: Unknown         | Время: 1.507 сек
Порт  9829: CLOSED     | Сервис: Unknown         | Время: 1.507 сек
Порт  9828: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9827: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9826: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9825: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9824: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9823: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9822: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9821: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9820: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9819: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9818: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9817: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9816: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9815: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9814: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9813: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9812: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9811: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
