Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:25:58
============================================================
Порт   854: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   853: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   852: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   851: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   850: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   849: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   848: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   847: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   846: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   845: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   844: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   843: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   842: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   841: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   840: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   839: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   838: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   837: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   836: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   835: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   834: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   833: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   832: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   831: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   830: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   829: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   828: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   827: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   826: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   825: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   824: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   823: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   822: CLOSED     | Сервис: Unknown         | Время: 2.018 сек
Порт   821: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   820: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   819: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   818: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   817: CLOSED     | Сервис: Unknown         | Время: 2.018 сек
Порт   816: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   815: CLOSED     | Сервис: Unknown         | Время: 2.020 сек
Порт   814: CLOSED     | Сервис: Unknown         | Время: 2.021 сек
Порт   813: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   812: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт   811: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   810: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   809: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   808: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   807: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   806: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   805: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   804: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   803: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   802: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   801: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   800: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   799: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   798: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   797: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   796: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   795: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   794: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   793: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   792: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   791: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   790: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   789: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   788: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   787: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   786: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   785: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   784: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   783: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   782: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   781: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   780: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   779: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   778: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   777: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   776: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   775: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   774: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   773: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   772: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   771: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   770: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   769: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   768: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   767: CLOSED     | Сервис: Unknown         | Время: 2.000 сек
Порт   766: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   765: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   764: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт   763: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   762: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   761: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   760: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   759: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   758: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   757: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   756: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   755: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   754: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   753: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   752: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   751: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   750: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   749: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   748: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   747: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   746: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   745: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   744: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   743: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   742: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   741: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   740: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   739: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   738: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   737: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   736: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   735: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   734: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   733: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   732: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   731: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   730: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   729: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   728: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   727: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   726: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   725: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   724: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   723: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   722: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   721: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   720: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   719: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   718: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   717: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   716: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   715: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   714: CLOSED     | Сервис: Unknown         | Время: 2.018 сек
Порт   713: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   712: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   711: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   710: CLOSED     | Сервис: Unknown         | Время: 2.018 сек
Порт   709: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   708: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   707: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   706: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   705: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   704: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   703: CLOSED     | Сервис: Unknown         | Время: 2.021 сек
Порт   702: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   701: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   700: CLOSED     | Сервис: Unknown         | Время: 2.020 сек
Порт   699: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   698: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   697: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   696: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   695: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   694: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   693: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   692: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   691: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   690: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   689: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   688: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   687: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   686: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   685: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   684: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   683: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   682: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   681: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   680: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   679: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   678: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   677: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   676: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   675: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   674: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   673: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   672: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   671: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   670: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   669: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   668: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   667: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   666: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   665: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   664: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   663: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   662: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   661: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   660: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   659: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   658: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   657: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   656: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   655: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
