Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:20:46
============================================================
Порт   225: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   224: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   223: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   222: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   221: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   220: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   219: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   218: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   217: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   216: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   215: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   214: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   213: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   212: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   211: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   210: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   209: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   208: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   207: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   206: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   205: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   204: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   203: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   202: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   201: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   200: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   199: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   198: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   197: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   196: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   195: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   194: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   193: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   192: CLOSED     | Сервис: Unknown         | Время: 2.018 сек
Порт   191: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   190: CLOSED     | Сервис: Unknown         | Время: 2.018 сек
Порт   189: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   188: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   187: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   186: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   185: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   184: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   183: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   182: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   181: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   180: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   179: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   178: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   177: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   176: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   175: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   174: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
